id,composition,Eg
59425,Rb2Tl1Rh1F6,1.786
2552,Sb8Pb3S15,1.6195000000000004
1429,Li2Ni2S3O12,3.8594
55313,Li4Mn5Sn1O12,0.006699999999999928
23417,Li2Fe2P2O8F1,0.6774
18860,Y2Si1C1O7,4.7648
3674,Li2Cr5B3O13,1.2867000000000002
3224,Rb1Tl1O1,1.3818
7259,Gd10S14O1,1.2678000000000005
2518,Fe1Ag1Br4,0.5914
37435,K6Se2O9,1.6318
14749,Bi2Te1O2,0.5792000000000002
38217,Na2Co1N4O12,3.1828000000000003
347,Sm2S3O12,5.5128
34931,Er1Sn1Au1,0.008099999999999774
12203,B5H11N2,3.8582
10528,Ba4La1Ge3Sb1Se13,1.2329999999999997
50541,Na2H10S1O5,3.3547
1455,Cd1Sb2O6,1.4161000000000006
54350,Cs1Ag1C2,2.6144
3261,Zr2P2W1O12,3.7457
2840,K2Eu1Si1Se5,0.3805999999999998
54943,Li2Ce1Sm1Mo4O16,0.02129999999999921
7117,Ca1La2Co1O6,1.4531999999999998
3033,Ba1Mg2V2O8,3.5091
13182,La1Si1B1O5,4.284300000000001
1605,Mg1Si1O3,5.414999999999999
42139,Sr3Sb2N4,1.0265999999999995
40985,Ca3Y1Al3B4O15,4.4422
14696,K2Fe1H12S2O14,3.6354
9643,K1Mg3Al1Si3H2O12,4.1984
34155,Mg1Sc1B1O4,3.3711
40788,W1Cl4,0.2519
41206,Na2Sr1La2Ti5O15,1.9974000000000007
62168,Mg1Ni1Sn1P2O9,3.0102
59160,Cs2Cu1Bi1F6,1.1671999999999998
51231,K1Nb3V1Cl11,0.17230000000000034
13430,Na2Cu1H6C2O9,0.6966000000000001
6130,Na4W1O4,3.1114999999999995
55339,Pt1F4,1.1225
25127,Li3V1Si1O5,1.6548999999999996
22560,Li1Sn1P1H1O5,2.3771
1740,Tm1W1Br1O4,2.7365
19628,Rb2Mg1H8C2O10,4.5333
54424,Ba1Na1Ga1F6,6.0916
7783,Ag4Hg1Ge2S7,0.4615999999999998
728,Al2Co2O7,0.44039999999999946
53176,Na2Mn1In1Si2O9,0.05789999999999995
54672,Sm2Zr1S5,1.101
22740,As1H5C2O2F6,5.2271
37100,Cd1Cl6,0.1191999999999993
18397,Np1Ag1Se1O5,0.06780000000000007
19960,Si3Sb2O9,4.1105
17014,Ba3Y2B6O15,4.5196000000000005
3855,Li1Cr1P2O8,1.2462
33885,Ca1Hf1S3,1.5147000000000004
